,smiles,pH_range,logP
258,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,1,0.13
259,O=c1[nH]c2c(O)ccc(CCNCCCCCCS(=O)(=O)CCc3ccccc3)c2s1,1,1.44
260,OCC#CC(O)(c1ccc(F)cc1)c1ccc(F)cc1,0,3.61
261,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0,1.41
262,Cc1ccc2c(C)[nH]c(=Nc3nc(=O)c4c([nH]3)CCCC4)nc2c1,2,3.92
263,COC(=O)N=c1[nH]c2ccccc2[nH]1,1,1.52
264,NS(=O)(=O)c1cc2c(s1)CC(O)CS2(=O)=O,1,-0.7
265,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,0.5
266,CCOC(=O)N1CCN(C(=O)c2ccc(-n3c(O)c4c(c3O)CCCC4)cc2)CC1,0,3.74
267,Cc1cc(C(=O)COC(=O)c2oc3ccccc3c2COC(C)C)c(C)n1-c1c(C)n(C)n(-c2ccccc2)c1=O,0,5.39
268,NC(Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,1,-1.51
269,O=c1[nH]c2c(O)ccc(CCNCCCOCCOCCc3ccccc3)c2s1,1,1.19
270,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,1,2.09
271,COc1ccc2c(C=Nc3c(C)n(C)n(-c4ccccc4)c3=O)c(=O)n(Cc3ccco3)c(O)c2c1,2,4.66
272,CC(C)CC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(C)C)C(=O)O,1,-1.23
273,CN(C)C(=O)COC(=O)c1ccccc1O,1,1.21
274,CC(C)CC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,1,-1.94
275,CCOc1ccc(-c2[nH]nc3c2[C@H](c2ccco2)C(C#N)C(=N)O3)c(OCC)c1,2,4.48
276,CCCCNC(=S)N(C)/N=C/c1ccc(OCc2ccc(Cl)cc2)c(OC)c1,1,6.8
277,CCCCN1C(=O)N(C)[C@@H]2[C@H]1N(C)C(=O)N2CCCC,0,2.69
278,CCC1(c2ccccc2)NC(=O)NC1=O,1,1.34
279,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccn3)c2s1,1,0.95
280,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,1,1.57
281,N#Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,1,1.8
282,NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O,1,-0.47
283,COC(=O)c1cccc(NC(=O)c2cc(C(=O)Nc3cccc(C(=O)OC)c3)cc(N3C(=O)c4ccccc4C3=O)c2)c1,1,6.09
284,Cc1ccccc1N1C(=O)c2ccc(C(=O)OCC(=O)c3c(N)n(C)c(=O)n(C)c3=O)cc2C1=O,2,4.55
285,O=C(O)c1ccsc1,0,1.5
286,CNc1ccc(-c2nc3ccc(OC)cc3s2)cc1,1,2.6
287,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,1,1.47
288,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)CC)C(=O)[O-],1,-1.11
289,CCC(C)C([NH3+])C(=O)NC(C=O)C(=O)NC(CC(C)C)C([O-])O,1,-2.28
290,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCSc3ccccc3)c2s1,1,2.68
291,NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)O,1,-1.36
292,CCN(CC)CCOC(=O)c1ccc(N)cc1,2,1.92
293,CN(C)S(=O)(=O)c1cccc(C(=O)NCCc2ccc(Cl)cc2Cl)c1,2,4.48
294,CC(Oc1ccc(F)cc1F)C(=O)c1cn(-c2ccc(OC(F)(F)F)cc2)nn1,0,5.83
295,CNS(=O)(=O)c1ccc(C)cc1,1,1.28
296,CCc1ccc(-n2nnnc2SCC(=O)Nc2ccc(C(C)=O)cc2)cc1,0,4.69
297,CC(Sc1nnnn1-c1ccc(Cl)cc1)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,0,4.52
298,O=C(O)C(=O)CC(O)O,0,-1.26
299,COc1ccc(=NS(=O)(=O)c2ccc(NC(C)=O)cc2)[nH]n1,0,0.37
300,O=C(c1cccc(COCC(F)(F)C(F)F)c1)N1CC[C@@H](C(F)(F)F)n2nccc21,0,4.27
301,COc1ccc(C=O)cc1COc1c(F)c(F)cc(F)c1F,0,4.24
302,CCOC(=O)c1c(-n2c(O)c3c(c2O)CC(C)=C(C)C3)sc(C)c1C,0,4.56
303,O=C(NC(Cc1ccc(Cl)cc1)C(=O)N=Cc1ccccc1)c1ccccc1,0,4.41
304,CC/N=C1\S/C(=C\c2cn(CC(=O)Nc3cccc(C)c3)c3ccccc23)C(=O)N1CC,2,5.8
305,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC(O)C2,1,-0.44
306,C[C@H]1CCCN(C(=O)COC(=O)COc2cc(Cl)c(Cl)cc2Cl)C1,1,4.97
307,Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,2,0.83
308,CCC(C(=O)N1CCCN(C(=O)C(CC)c2ccccc2)CC1)c1ccccc1,0,4.93
309,O=C1CC[C@H]2CCCC[C@@]2(O)O1,0,1.16
310,O=C(COC(=O)c1cccc(S(=O)(=O)N2CCc3ccccc32)c1)Nc1ccc(F)c(F)c1F,0,5.31
311,N#CCOC(=O)c1ccccc1SCC(=O)N1CCCC1,1,2.57
312,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,1,1.45
313,C=c1c(=Cc2sc(=S)n(CC)c2O)cc(C)n1-c1ccc2c(c1)OCO2,1,2.52
314,O=c1[nH]c2c(O)ccc(CCNCCNCCCOCCc3ccccc3)c2s1,1,0.88
315,NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,1,-1.33
316,CC(C)CC([NH3+])C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)[O-],1,-1.58
317,CC(=O)C(N)C(=O)NC(C(=O)NC(CC(C)C)C(O)O)C(C)C,1,-1.97
318,CCOC(=O)c1c[nH]c2c(c(-c3ccccc3)nn2-c2ccccc2)c1=Nc1ccc(O)c(CN(CC)CC)c1,1,3.45
319,Cc1nn(C)cc1-c1cc(C(F)(F)F)n2ncc(C(=O)N(C3CCCCC3)C3CCCCC3)c2n1,2,5.81
320,CCOC(=O)c1[nH]c2ccc(CO)c(Cl)c2c1C,0,3.92
321,CCC1(C(C)C)C(=O)NC(=O)NC1=O,1,0.97
322,Cc1cc2c(c(=O)o1)[C@@H](c1cccc(F)c1F)C(C#N)C(=N)O2,2,3.1
323,CCC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NC(C(=O)[O-])C(C)O,1,-1.95
324,O=C(NCC1CCCO1)c1cc2nc(C3CC3)cc(C(F)(F)F)n2n1,0,3.33
325,Cc1cc(C)n(CCOC(=O)C2[C@H](C=C(Cl)Cl)C2(C)C)n1,2,4.76
326,CN(C)/C=C/C(=O)c1ccc(C#Cc2ccccc2)cc1,2,4.69
327,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,5.72
328,COCCCNC(=S)N1[C@H](C)CCC[C@H]1C,0,2.8
329,CC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,-0.76
330,CNS(=O)(=O)c1ccc(Cl)cc1,1,1.92
331,CC(=O)NS(=O)(=O)c1ccc(N)cc1,1,-0.96
332,CC(C)(C)C(=O)Nc1ccc(NC(=O)C(C)(C)C)cc1,0,2.79
333,CN(C)CCCN1c2ccccc2Sc2ccccc21,2,4.55
334,CCCSc1nc2c(c(=O)n1-c1ccc(Br)cc1)SCC2,2,4.61
335,O=C(C1CCCO1)N1CCN(C(=S)Nc2ccc(Oc3ccccc3)cc2)CC1,1,4.18
336,CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,1,3.56
337,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1,-0.07
338,CN(C)c1ccc(-c2nc3ccc(C#N)cc3s2)cc1,1,3.2
339,CCC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,1,-1.43
340,CC1=NN(C(=O)c2ccccc2Cl)[C@](O)(c2ccc(Cl)cc2)C1,0,3.73
341,CCC[C@@H](C)NC(=O)COc1ncnc2sc3c(c12)CC[C@@H](C)C3,2,4.55
342,COc1cccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2cccc(C)c2)c1,0,4.16
343,O=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,1,4.04
344,CCOC(=O)/C=c1/s/c(=C/c2c(F)cccc2F)c(=O)n1CC(=O)N(C)C,0,3.17
345,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O,1,-1.0
346,COc1cccc(OC)c1C(=O)Nc1ccc(N2CCN(C(=O)c3ccccc3C)CC2)cc1,1,4.16
347,O=C(c1ccccc1)N1CCCCC(Sc2nnc3ccccn23)C1=O,2,3.14
348,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,1,0.54
349,CC(=O)c1sc(SCCOc2ccccc2)nc1C,0,3.86
350,Cc1cc(SCC(=O)NCc2ccc3c(c2)OCO3)nc2ccccc12,2,4.15
351,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCCc3cccc4ccccc34)c2s1,1,2.54
352,Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,0,0.28
353,CCC(Sc1nc2ccccc2c2nc(CC(C)C)c(O)n12)C(=O)Nc1ccc2c(c1)OCO2,1,4.85
354,N#CCc1nc(-c2ccc3c(c2)OCCCO3)cs1,0,2.68
355,O=C1c2ccccc2C(=O)C12O[C@@H](c1ccccc1)c1c2c(O)n(-c2ccccc2)c1O,0,4.0
356,COc1ccc(-c2nnc(SCc3cc(=O)oc4ccc5ccccc5c34)n2N)cc1,0,4.24
357,O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCCOCCc3ccccc3)c2s1,1,1.83
358,COc1cccc(/C=C/C(=O)OCC(=O)c2cc(C)n(-c3cc(C)on3)c2C)c1,1,5.2
359,CC(C)(C)OC(=O)N1CCCC1C(=O)Oc1ccc2c(=O)c(-c3ccc(F)cc3)coc2c1,0,5.77
360,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)N1CCOCC1,0,3.08
361,CCCCOc1ccc(C(=O)N(CCN2C(=O)c3ccccc3C2=O)c2cccc(OC)c2)cc1,0,5.35
362,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,0,0.54
363,COCCCNC(=O)c1cc(Br)c(C)c(C)c1C,2,2.93
364,CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCOCOCCOC)OC1=O,1,2.21
365,CCOC(=O)Cc1nc2nonc2[nH]c1=O,2,1.61
366,C=C(C)CSc1nnc(-c2cccc(S(=O)(=O)N3CCOCC3)c2)n1C1CCCC1,2,4.73
367,N#C[C@@H](Cc1cccs1)c1ncc(C(F)(F)F)cc1Cl,0,4.09
368,Cc1ccc(-n2c(C)cc(=O)cc2C)cc1C,2,2.95
369,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,1,2.98
370,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,2,1.33
371,CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,0,2.72
372,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(Cl)cc(OC)[nH]1,1,0.36
373,CC(C)Cn1c(O)c(C=C2CC=CCC2)sc1=S,0,6.66
374,CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCOC)OC1=O,1,2.45
375,O=C(OCC(=O)N(C1CCCCC1)C1CCCCC1)c1ccc(Cl)nc1,0,4.99
376,CC(C)=CCCC1=NN(C=O)[C@@](C)(CCC=C(C)C)C1,2,5.02
377,CC(C)CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,1,-2.1
378,CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)N2CCc3ccccc32)c1C,1,4.47
379,CN1C(=O)N(C)C2(c3ccccc3)Nn3c(s/c(=C\c4ccc(Br)cc4)c3=O)=NC12c1ccccc1,2,5.72
380,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,1,1.83
381,c1ccc2[nH]c(-c3cscn3)nc2c1,0,2.47
382,C#CCN1C(=O)C2CC[C@@](C)(C1=O)C2(C)C,0,2.28
383,O=C(OCCCl)n1cc(F)c(=O)[nH]c1=O,0,0.02
384,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0,4.27
385,NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,1,0.17
386,CCOC(=O)c1c(NC(=O)CSc2nnc(C)s2)sc2c1CCCCC2,1,5.03
387,COC(=O)c1cc(OC)c(OC)cc1NC(=O)COc1nonc1N1CCOCC1,1,4.49
388,CC1(C)C=C2OC(=N)C(C#N)[C@@H](c3c4ccccc4cc4ccccc34)C2C(=O)C1,2,4.99
389,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1,2.64
390,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1,3.68
391,Oc1ccccc1-c1ccccc1,2,3.09
392,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,1,0.05
393,O=C(Oc1ccccc1)n1c(=O)[nH]cc(F)c1=O,0,1.73
394,CCN1CC(C(O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)C(C)C)OC1=O,1,2.76
395,CCCOC(=O)c1ccc(O)cc1,0,3.04
396,CCN(CC)Cc1cc(N=c2cc[nH]c3cc(Cl)ccc23)ccc1O,1,3.01
397,NS(=O)(=O)c1nc2ccc(Cl)cc2s1,1,2.1
398,CN(CCCN=c1[nH]c2ccccc2n2cccc12)CCCN=c1[nH]c2ccccc2n2cccc12,1,4.12
399,CSc1cccc(CCOCCS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)c1,1,1.63
400,CCOC(=O)c1c(N=Cc2c(O)n(C)c(=O)n(C)c2=O)sc2c1CC[C@@H](CC)C2,0,5.76
401,Cc1c(CN(C)C(=O)C(C)n2nc(C(F)F)c(Br)c2C)cnn1C,0,3.12
402,O=C(/C=C/c1ccc2c(c1)OCO2)NCCCCNC(=O)/C=C/c1ccc2c(c1)OCO2,0,4.59
403,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCC2)cc1,0,2.49
404,N=c1[nH]c(=N)c2nc(-c3ccccc3)c(=N)[nH]c2[nH]1,2,0.98
405,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,0,2.72
406,OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,1,2.2
407,COc1nc(=Nc2ccccc2)nc(Cl)[nH]1,0,2.89
408,NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,1,-0.27
409,CCn1c(SCC(=O)NC(C)(C)C)nnc1C1CCCCC1,2,3.2
410,CC(C)CC(N)C(=O)NC(C)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,1,-1.78
411,CC(C)CC(NC(=O)C1CCCN1)C(=O)O,1,-2.41
412,CC(C)(C)S(=O)(=O)C(C#N)C=Nc1ccc(OC(F)(F)F)cc1,1,4.28
413,Cc1ccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc(C)cc3C)CC2)c(C)c1,0,5.01
414,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,2.92
415,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0,2.79
416,CCCCCC(=O)NC1(CCC)CCCC1,0,4.28
417,N#CC(C#N)=NNc1ccccc1,1,2.64
418,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,1,1.2
419,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCCCc3ccccc3)c2s1,1,3.62
420,O=C(COc1ccc2ccccc2c1)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,0,4.47
421,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)OCCn2c(O)c3c(c2O)C2c4ccccc4C3c3ccccc32)cc1,0,4.17
422,O=C(O)c1ccccc1,0,1.87
423,NS(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O,1,-0.59
424,CCOc1ccc(CC(=O)C2=C(N3CCCC3)CCCC2=O)cc1OCC,1,3.3
425,CCC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)O)C(C)CC,1,-2.82
426,CC(C)CC(N)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,2,1.14
427,COc1cc(C(=O)COC(=O)CCCOc2ccc(Cl)cc2Cl)cc(OC)c1OC,1,5.59
428,CCOC(=O)CC(CN)c1ccc(Cl)cc1,1,0.77
429,CS(=O)(=O)c1ccc(-c2coc(O)c2-c2ccccc2)cc1,1,1.71
430,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1,1.85
431,O=c1[nH]c2c(O)ccc(CCNCCCSCCOCCOc3ccccc3)c2s1,1,2.11
432,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,1,-0.42
433,CCn1cc(-c2nc3c4c(C)c(C)sc4ncn3n2)cn1,0,3.77
434,Cc1[nH]c(=NS(=O)(=O)c2ccc(N)cc2)oc1C,0,0.59
435,CN(CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12)CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12,1,4.44
436,CCOC(=O)c1c(N)n2c(=O)/c(=C/c3ccc(C(=O)OC)cc3)sc2c(C(=O)OC)c1=c1ccc(=C(O)OC)cc1,1,6.95
437,CC1(C)C=C2OC(=N)C(C#N)C3(CCC4(CC3)OCCO4)C2C(=O)C1,2,3.24
438,Cc1cccc(Nc2ccccc2C(=O)O)c1C,0,5.12
439,Cn1c(C(=O)N2CCC3(CC2)OCCO3)cc2c(=O)n3ccccc3nc21,1,2.87
440,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,1,0.04
441,Cc1cccc(C)c1NC(=O)CNC(=O)C1CCN(S(=O)(=O)c2cccc(Cl)c2Cl)CC1,0,3.41
442,O=C(c1nn2c(c1Br)NC(c1cccs1)C[C@H]2C(F)(F)F)N1CCCC1,0,4.47
443,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,2,3.68
444,CCOC(=O)C1=C(C)N=C2C[C@@H](c3ccc(OC)c(OC)c3)CC(=O)C2[C@H]1c1ccccc1OC,2,3.79
445,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCC(N)C(=O)O,1,1.08
446,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2,3.79
447,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,2,-1.11
448,CC(Sc1nc2ccccc2c(=O)n1-c1ccc(F)cc1)C(=O)NCc1ccc2c(c1)OCO2,0,4.63
449,COc1ccc(C(=O)/C=C/C=C(Cl)Cl)cc1,0,4.4
450,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,1,4.37
451,CC(=O)n1cc(O)n(CC(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)cs2)c1=S,1,4.43
452,COC(=O)c1ccccc1O,1,2.36
453,[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21,0,2.04
454,O=C(O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,1,0.14
455,Cc1cc2ccccc2c(=O)n1CC(=O)NCC(=O)N1CCN(c2cccc(Cl)c2)CC1,1,4.45
456,CCCCC(=O)NC1C2CC3CC(C2)CC1C3,0,3.8
457,c1ccc2c(c1)OCCOCCOCCO2,0,1.81
458,O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccccn3)c2s1,1,1.75
459,COc1ccc(CNC(=O)C2CCCC2)cc1,0,2.6
460,COc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c(OC)n1,0,1.63
461,CC(C)CC([NH3+])C(=O)NC(C=O)C(=O)NC(CC(C)C)C([O-])O,1,-2.35
462,C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,1,5.3
463,C[C@H](NC(=O)CSc1ncnc2c1cnn2-c1ccccc1)c1ccccc1,2,4.73
464,CCC(C)C(NC(=O)C1CCCN1)C(=O)O,1,-2.56
465,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,1,2.4
466,C(=N/n1cnnc1)\c1ccc(-n2nc(-c3ccccc3)cc2-c2ccccc2)cc1,2,5.58
467,O=C(N=c1cc[nH]c(Cl)c1)Nc1ccccc1,1,3.2
468,O=C1C[C@@H](n2nc(-c3ccccc3)n(-c3ccccc3)c2=S)[C@@H]2COC1O2,1,3.65
469,CCCc1ccc(OCc2ccc(C(=O)Nc3ccccc3C(=O)OC)o2)c(OC)c1,0,5.89
470,CCC(C)C(NC(=O)C(C)N)C(=O)O,1,-2.6
471,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1,3.06
472,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0,2.9
473,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,0,1.01
474,CCC(C)C(=O)OC1CCC=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)C21,0,3.95
475,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,2,2.97
476,O=C(c1cc2ccccc2s1)N1CCCN(c2ccc(C(F)(F)F)cn2)CC1,2,4.92
477,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)CCOCCc3ccccc3)c2s1,1,1.12
478,CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,1,-1.17
479,CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,1,0.73
480,CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc([N+](=O)[O-])c1,1,1.32
481,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,1,3.52
482,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2,2.34
483,CCN(C(=O)C(C)OC(=O)c1cc(OC)c(OC)c(OC)c1)c1ccccc1,2,3.4
484,CCOC(=O)CC1=Nn2c(nnc2-c2cccs2)SC1,2,2.98
485,NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,1,-1.68
486,Cc1nn(-c2ccccc2)c(C)c1-c1nnc(-c2c(C)nn(-c3ccccc3)c2C)o1,1,5.56
487,Oc1c2c(c(O)n1-c1nccs1)C1c3ccccc3C2c2ccccc21,2,3.83
488,CCC(CC)(C(=O)NC(N)=O)C(=O)OC(C)C,0,1.99
489,Cn1c(N)c(C(=O)CSc2nc3sc4c(c3c(=O)n2Cc2ccccc2)CCC4)c(=O)n(C)c1=O,2,5.21
490,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,0,2.97
491,CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,0,3.42
492,CN(Cc1ccccc1)S(=O)(=O)c1ccc(NC(=O)Cc2ccc(F)cc2)cc1,0,5.14
493,CN1C(=CC=CC(=O)C(F)(F)F)C(C)(C)c2ccccc21,1,4.41
494,Cc1ccc(NC(=O)COC(=O)/C(=C/c2cccs2)c2cccs2)c(C)c1,1,3.83
495,O=C(Oc1ccccc1)n1cc(F)c(=O)[nH]c1=O,0,0.64
496,CC(=O)C1=C(C)N=C(SCC(=O)Nc2ccccc2)C(C#N)[C@H]1c1ccccc1Cl,2,4.97
497,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,4.37
498,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCCOc3ccccc3)c2s1,1,1.13
499,CCC(C)C(NC(=O)C(N)C(C)O)C(=O)O,1,-0.86
500,CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1,0,2.69
501,CCCCOC(=O)CC(CN)c1ccc(Cl)cc1,1,1.42
502,Cc1cn(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)Oc3ccc(CC(N)C(=O)O)cc3)O2)c(=O)[nH]c1=O,1,0.25
503,O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2s1,1,3.52
504,O=C(CCCCCNCCc1ccc(O)c2[nH]c(=O)sc12)NCCc1ccccc1,1,1.29
505,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)O,1,-1.74
506,COc1cccc(-c2ccc3c(N)c(C(=O)Nc4ccc(F)c(F)c4)sc3n2)c1,1,5.86
507,CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O,1,-2.07
508,CC1(C)C[C@](C)(O)[P@](C)(=O)O1,0,0.71
509,C[C@@H]1CCC2[C@](C)(CC[C@@H]3OC(C)(C)OC[C@@]23C)[C@@]12CCC1(COC(=O)C1)O2,0,4.24
510,COc1cc(C#N)ccc1OC(=O)/C=C/c1cccc(F)c1,0,4.46
511,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,0,1.84
512,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,0,1.01
513,Cc1cc(Br)ccc1NC(=O)CSc1n[nH]c(=N)s1,1,2.69
514,CCCCCCCCCCCC(=O)O,0,4.4
515,CC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NCC(=O)[O-],1,-2.33
516,CCCCNC(=O)n1c(=NC(=O)OC)[nH]c2ccccc21,1,2.12
517,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccccc3)c2s1,1,1.46
518,COc1ccc(O)c(C(=O)O)c1,0,2.78
519,CCOC(=O)n1c(-c2cscn2)nc2ccccc21,1,2.51
520,COC(=O)C(NC(=O)CON=C1C=C2CC[C@H]3[C@H](CC[C@]4(C)[C@H]3CC[C@@]4(O)C(C)=O)[C@]2(C)CC1)c1ccccc1,1,6.27
521,Clc1ccc2[nH]c(=NCCCNCCCN=c3[nH]c4ccc(Cl)cc4n4cccc34)c3cccn3c2c1,1,5.06
522,COC(=O)c1c(N[C@@H](NC(C)=O)C(Cl)(Cl)Cl)sc2c1CCCC2,2,5.04
523,CC[C@H](C)NC(=O)NC(C(F)(F)F)C(F)(F)F,0,2.84
