,smiles,pH_range,logP
43,O=C(CN1C(=O)/C(=C2\SC(=S)N(Cc3ccco3)C2=O)c2ccccc21)Nc1ccc(F)cc1,1,6.36
44,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,1,2.15
45,Cc1[nH]n(-c2ccccc2)c(=N)c1-c1ccccc1,1,3.27
46,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,1,0.16
47,CNc1ccc(-c2nc3ccc(Br)cc3s2)cc1,1,3.6
48,Clc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(Cl)cc5n5cccc45)CC3)c3cccn3c2c1,1,4.92
49,CC(C)[C@H]1O[C@H]2CCCC[C@H]2C2=CCCC[C@H]21,0,5.87
50,N#CC(C#N)=NNc1ccccc1[N+](=O)[O-],1,2.9
51,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,1,-0.96
52,CCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1,1.57
53,CC(=O)c1ccc(NC(=O)CNC(=O)CNC(=O)C2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1,0,3.39
54,CCOP(=O)(Cc1ccc(CP(=O)(OCC)OCC)o1)OCC,1,3.25
55,Cc1sc2ncn(CC(=O)N[C@@H]3CCC[C@@H](C)[C@H]3C)c(=O)c2c1C,2,4.34
56,COc1cc(C2=Nc3cc(C)c(C)cc3NC3CC(C)(C)CC(=O)C23)cc(OC)c1OC(C)=O,2,4.21
57,[O-][n+]1[nH]c(=NCCCCCCN=c2c3ccccc3[nH]c3ccccc23)[n+]([O-])c2ccccc21,1,1.69
58,CN(C)c1nc(=N)nc(COC(=O)c2ccc(-n3cnnc3)cc2)[nH]1,2,2.74
59,O=C(Nc1ccccc1C(F)(F)F)NC1CCCCC1,0,4.0
60,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,1,-0.24
61,CCOCCOC(=O)C(C)n1cnc2sc3c(c2c1=O)CC[C@H](C)C3,2,4.25
62,CC1=C(C(=O)OCCc2ccccc2)[C@@H](c2ccc(Cl)cc2)C2C(=O)CCCC2=N1,1,5.48
63,O=C(O)CCCOc1ccc(Cl)cc1Cl,0,3.53
64,COC(=O)CC(CN)c1ccc(Cl)cc1,1,0.48
65,CC1CN(c2nc3ccccn3c(=O)c2C=C(C#N)C#N)CC(C)O1,2,3.24
