smiles,logP,pH,Temperature
CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,3.42,4.86,25.0
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.72,4.0,22.0
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.72,3.0,22.0
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.72,2.0,22.0
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.72,1.2,22.0
COc1ccc2cc(C(C)C(=O)OCC(=O)N(C)CC(N)=O)ccc2c1,1.37,7.4,21.0
COc1ccc2cc(C(C)C(=O)OCC(=O)N(C)CCO)ccc2c1,2.01,7.4,21.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,9.13,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,10.35,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,6.32,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,5.82,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,7.9,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,9.89,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,6.92,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,11.16,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,11.72,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,9.73,25.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,8.55,25.0
CCN(CC)C(=O)C(C#N)=Cc1cc(OC(=O)NC(C)(C)C)c(O)c([N+](=O)[O-])c1,1.8,5.0,22.0
CCCCNC(=O)Oc1cc(C=C(C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,0.96,7.4,22.0
CCCCNC(=O)Oc1cc(C=C(C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,1.98,5.0,22.0
CCN(CC)C(=O)C(C#N)=Cc1cc(OC(=O)NC(C)(C)C)c(O)c([N+](=O)[O-])c1,0.74,7.4,22.0
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.42,5.0,22.0
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.42,1.2,22.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.0,5.4,37.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.0,7.0,37.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.0,7.4,37.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,5.04,9.06,24.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,5.04,9.44,24.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,5.04,9.78,24.0
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,1.92,7.4,32.0
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.64,6.8,25.0
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.64,7.4,25.0
CCN(CC)C(=O)COC(=O)C(C)c1ccc2cc(OC)ccc2c1,3.32,7.4,21.0
COc1ccc2cc(C(C)C(=O)OCC(=O)N(CCO)CCO)ccc2c1,1.7,7.4,21.0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.16,7.4,25.0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.16,1.0,25.0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.16,6.8,25.0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.16,5.0,25.0
CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,2.72,3.0,25.0
CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,2.72,5.0,25.0
CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,2.72,4.0,25.0
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93,9.43,20.0
N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,3.52,7.4,37.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.03,7.4,37.0
CC(C)(C)C1CCC(=Cc2c(O)c(O)c3ccccc3c2O)CC1,7.02,7.4,25.0
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,1.16,7.0,25.0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94,6.5,37.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,2.87,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,5.11,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,3.7,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,3.23,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,2.84,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,2.63,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,2.6,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,3.49,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,2.81,25.0
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-0.22,2.52,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,5.68,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,5.61,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,5.55,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,4.87,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,4.86,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,4.82,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,4.55,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,4.47,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,4.43,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,3.74,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,3.48,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,2.91,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,2.12,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,5.8,25.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)C12,-0.9,2.23,25.0
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,2.98,7.0,25.0
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,2.98,6.0,25.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.36,7.4,37.0
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,2.89,6.8,25.0
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,2.89,7.4,25.0
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,4.53,7.5,37.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,7.4,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,6.8,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,7.32,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,8.5,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,11.0,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,9.0,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,7.5,25.0
CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.37,8.0,25.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,8.73,35.0
CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,0.6,6.96,21.0
CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,0.6,9.36,21.0
CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,0.6,6.22,21.0
CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,0.6,4.94,21.0
CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,0.6,7.75,21.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,7.38,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,4.66,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,9.0,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,5.86,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,7.0,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,6.27,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,6.5,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,5.0,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,5.22,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,5.5,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,4.5,23.0
CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,3.87,4.58,23.0
CCC(C)C(=O)OC1CCC=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)C21,3.95,5.0,23.0
CCC(C)C(=O)OC1C[C@H](O)C=C2C=CC(C)[C@H](CCC3C[C@@H](O)CC(=O)O3)C21,2.42,5.0,23.0
CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1.5,5.78,21.0
CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1.5,6.76,21.0
CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1.5,7.95,21.0
CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1.5,4.95,21.0
CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1.5,9.19,21.0
CCC(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,4.26,5.0,23.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,4.15,3.0,25.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,4.15,2.4,20.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)C21C,3.5,3.0,25.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)C21C,3.5,2.4,20.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.39,3.0,25.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.39,2.4,37.0
CCC(C)(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,4.68,5.0,23.0
CCCCC(=O)OC1(C(=O)CO)[C@@H](C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.6,5.5,37.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,7.5,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,8.0,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,7.0,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,8.35,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,9.31,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,12.33,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,11.29,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,10.38,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,11.5,22.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,10.08,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,8.94,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,9.84,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,7.14,25.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,8.69,25.0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.72,7.4,25.0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.72,6.8,25.0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.72,5.0,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,7.5,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,6.8,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,5.44,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,2.28,5.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,3.36,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,3.96,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,4.45,25.0
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,4.97,25.0
CCN1CC(C(O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)C(C)C)OC1=O,2.85,7.4,37.0
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCO)OC1=O,1.94,7.4,37.0
CCN1CC(C(O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)C(C)C)OC1=O,2.67,6.5,37.0
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N2CCOCC2)OC1=O,2.2,7.4,37.0
CCN1CC(C(O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)N2CCOCC2)OC1=O,1.91,6.5,37.0
CCN1CC(C(O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)N2CCOCC2)OC1=O,2.11,7.4,37.0
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCOC)OC1=O,2.45,7.4,37.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,2.54,7.0,25.0
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCOCOCCOC)OC1=O,2.21,7.4,37.0
CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCC(N)C(=O)O,1.08,7.4,25.0
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,1.68,9.0,25.0
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N2CC(OCOC)C(OCOC)C2)OC1=O,2.31,7.4,37.0
CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCCN(CCO)CCO,1.4,7.4,25.0
CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(C(=O)O)c1ccccc1,1.22,7.4,25.0
CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(CN)c1,1.89,7.4,25.0
CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N2CC(OCOCCOC)C(OCOCCOC)C2)OC1=O,1.87,7.4,37.0
CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(Cc1cccc(CN)c1)C(=O)O,1.83,7.4,25.0
C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,2.92,5.5,37.0
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,0.05,6.26,37.0
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,0.05,6.87,25.0
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,0.05,7.08,25.0
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,0.05,7.01,37.0
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,0.05,7.19,37.0
CC(C)C(NC(=O)CN)C(=O)O,-1.33,7.0,25.0
CC(N)C(=O)NC(C)C(=O)O,-2.0,7.0,25.0
CCC(C)C(NC(=O)C(C)N)C(=O)O,-2.6,7.0,25.0
CC(C)C(NC(=O)[C@H](C)N)C(=O)O,-1.13,7.0,25.0
CC(C)CC(NC(=O)CN)C(=O)O,-0.78,7.0,25.0
CC(NC(=O)C(N)C(C)C)C(=O)O,-1.14,7.0,25.0
CC(C)C(NC(=O)C(N)CO)C(=O)O,-1.53,7.0,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-2.82,7.0,25.0
CC(C)CC(NC(=O)C(N)CO)C(=O)O,-2.49,7.0,25.0
CC(C)CC(NC(=O)C1CCCN1)C(=O)O,-2.41,7.0,25.0
CCC(C)C(NC(=O)C1CCCN1)C(=O)O,-2.56,7.0,25.0
CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)[O-],-1.76,7.0,25.0
CCC(C)C(N)C(=O)N1CCCC1C(=O)[O-],-1.79,7.0,25.0
NCC(=O)NC(Cc1ccccc1)C(=O)[O-],-0.56,7.0,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.32,7.0,25.0
CC(C)CC(N)C(=O)O.CC(N)C(=O)O,-0.54,7.0,25.0
NC(Cc1ccccc1)C(=O)NCC(=O)O,-0.5,7.0,25.0
CC(=O)C(N)C(O)NC(C(=O)O)C(C)C,-1.25,7.0,25.0
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,-1.46,7.0,25.0
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,-2.05,7.0,25.0
CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O,-2.07,7.0,25.0
CCC(C)C(N)C(=O)NC(C(=O)O)C(C)CC,-1.82,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,-1.64,7.0,25.0
CSCCC(N)C(=O)NC(C(=O)O)C(C)C,-2.53,7.0,25.0
CC(=O)C(NC(=O)C(N)Cc1c[nH]cn1)C(O)O,-2.23,7.0,25.0
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,0.26,7.0,25.0
CCC(C)C(N)C(=O)NC(C(=O)O)C(C)C,0.16,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,0.68,7.0,25.0
CSCCC(N)C(=O)NC(C(=O)O)C(C)C,-0.28,7.0,25.0
NC(C=O)C(O)NC(Cc1ccccc1)C(=O)O,-0.79,7.0,25.0
CCC(C)C(NC(=O)C(N)C(C)O)C(=O)O,-0.86,7.0,25.0
CC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,-1.85,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,-1.43,7.0,25.0
CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)O,-1.3,7.0,25.0
CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O,-1.41,7.0,25.0
CC(C)C(NC(=O)CCC(N)C(=O)O)C(=O)O,-1.85,7.0,25.0
CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O,-1.32,7.0,25.0
CC(C)C(N)C(=O)NC(CCC(N)=O)C(=O)O,-1.82,7.0,25.0
CC(C)CC(NC(=O)C(N)CCCCN)C(=O)O,-0.26,13.0,25.0
CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-1.17,7.0,25.0
CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,-1.15,7.0,25.0
CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-1.98,7.0,25.0
CC(C)C([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)[O-],-2.52,7.0,25.0
CSCCC(NC(=O)C(N)CC(C)C)C(=O)O,-1.87,7.0,25.0
CSCCC(N)C(=O)NC(CC(C)C)C(=O)O,-1.84,7.0,25.0
O=C(O)C(Cc1ccccc1)NC(=O)C1CCCN1,-2.07,7.0,25.0
NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)O,-1.36,7.0,25.0
