,smiles,pH,logP
178,CC(C)C(N)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,-0.51
179,CC(C)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,10.0,0.31
180,CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCCN)C(=O)O,13.0,0.51
181,CC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,7.0,-1.85
182,CC(C)C(NC(=O)C(N)CO)C(=O)O,7.0,-1.53
183,CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,7.0,0.73
184,CC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,7.0,-0.2
185,CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,-0.32
186,CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)O,7.0,0.43
187,CC(C)C(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)[O-],7.0,-1.37
188,CC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)[O-],7.0,-0.76
189,CC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NCC(=O)[O-],7.0,-2.33
190,CC(C)C(NC(=O)CCC(N)C(=O)O)C(=O)O,7.0,-1.85
191,CC(C)C(NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,-1.96
192,CC(C)C(NC(=O)CN)C(=O)O,7.0,-1.33
193,CC(C)C(NC(=O)[C@H](C)N)C(=O)O,7.0,-1.13
194,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,9.0,3.34
195,CC(C)C(Sc1nnc(C(F)(F)F)n1C)C(=O)NC(N)=O,7.3,2.12
196,CC(C)C([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)[O-],7.0,-2.52
197,CC(C)C([NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)[O-],7.0,-1.5
198,CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O,2.8052,0.11
199,CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O,7.0,-0.92
200,CC(C)CC(N)C(=O)N=C(CCCNC(N)N)C(=O)NC(Cc1ccccc1)C(=O)O,13.0,-0.06
201,CC(C)CC(N)C(=O)NC(C(=O)NC(CC(C)C)C(=O)O)C(C)C,7.0,-1.57
202,CC(C)CC(N)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)O,7.0,-2.03
203,CC(C)CC(N)C(=O)NC(C)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,7.0,-1.78
204,CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,2.0,0.16
205,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)O,7.0,-1.0
206,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,7.0,-0.25
207,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,-1.0
208,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)O,7.0,-1.18
209,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C,7.0,-0.51
210,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,0.24
211,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O,7.0,-0.94
212,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,7.0,-1.34
213,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,7.0,-0.42
214,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,7.0,-1.46
215,CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)O,7.0,-1.3
