,smiles,pH,logP
527,CCCC(=O)N1CC2(C)CN(C(=O)CCC)CC(C)(C1)C2,5.0,2.69
528,CCCC(=O)NC[C@@H](C)NC(=O)CCC,5.0,1.43
529,CCCC(=O)OC(C)OP(=O)(OCC)OCC,7.0,3.51
530,CCCC(=O)OCC(=O)Nc1ccc(F)cc1Cl,5.0,3.02
531,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,4.5,3.87
532,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,4.58,3.87
533,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,4.66,3.87
534,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,5.0,3.87
535,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,5.22,3.87
536,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,5.5,3.87
537,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,5.86,3.87
538,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,6.27,3.87
539,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,6.5,3.87
540,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,7.0,3.87
541,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,7.38,3.87
542,CCCC(=O)OC[C@@H](Cc1cncn1C)C(CC)C(=O)OCc1ccc(C)cc1,9.0,3.87
543,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.0,2.85
544,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,4.4,2.85
545,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,4.7,2.85
546,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,5.0,2.85
547,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,7.4,2.85
548,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,5.7,3.72
549,CCCC(N)C(=O)O,5.98,-2.11
550,CCCC1(CC)C(=O)NC(=O)NC1=O,5.0,0.66
551,CCCC1=NC(=O)N[C@@H](c2ccc3c(c2)OCO3)C1C(=O)OCC,5.0,3.59
552,CCCC1C(=O)C[C@H](C(C)C)C(C#N)(C#N)C1(C#N)C#N,5.0,3.3
553,CCCCC(=O)NC1C2CC3CC(C2)CC1C3,5.0,3.8
554,CCCCC(=O)OC1(C(=O)CO)[C@@H](C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,5.5,3.6
555,CCCCC1(CC)C(=O)NC(=O)NC1=O,5.0,1.73
556,CCCCC1(CC)C(=O)NC(=O)NC1=O,7.9,1.73
557,CCCCCC(=O)NC1(CCC)CCCC1,5.0,4.28
558,CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,3.0,2.72
559,CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,4.0,2.72
560,CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,4.44,2.72
561,CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,5.0,2.72
562,CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,5.0,2.91
563,CCCCCCCCCCCC(=O)O,3.0,4.6
564,CCCCCCCCCCCC(=O)O,4.0,4.2
565,CCCCCCCCCCCC(=O)O,5.0,4.2
566,CCCCCCCCCCCC(=O)O,6.0,4.2
567,CCCCCCCCCCCC(=O)O,7.0,4.2
568,CCCCCCCCCCCCCC(=O)O,3.0,6.11
569,CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,7.4,5.25
570,CCCCCCCCCCNC(=O)NC1CCCCC1,7.4,5.44
571,CCCCCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,4.0,3.71
572,CCCCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,4.0,3.9
573,CCCCCCOC(=O)c1ccc(N)cc1,7.4,3.95
574,CCCCCCOC(=O)n1cc(F)c(=O)[nH]c1=O,4.0,2.04
575,CCCCCCSC1=C(C#N)C(c2cccs2)C(C(=O)Nc2ccccc2OC)C(C)=N1,5.0,6.28
576,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,7.4,0.44
577,CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,7.4,0.82
578,CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,4.86,3.42
579,CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,6.81,3.42
580,CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,8.23,3.42
581,CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,9.89,3.42
582,CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,4.95,1.5
583,CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,5.78,1.5
584,CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,6.76,1.5
585,CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,7.95,1.5
586,CCCCN(CCCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,9.19,1.5
587,CCCCN1C(=O)N(C)[C@@H]2[C@H]1N(C)C(=O)N2CCCC,5.0,2.69
588,CCCCN1C(=O)c2ccc(C(=O)OCC(=O)N[C@H](C)C(C)C)cc2C1=O,5.0,3.62
589,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1.35,2.34
590,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1.83,2.34
591,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.2,2.34
592,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.78,2.34
593,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.91,2.34
594,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.14,2.34
595,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.38,2.34
596,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.6,2.34
597,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.91,2.34
598,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.27,2.34
599,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.43,2.34
600,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.74,2.34
601,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.86,2.34
602,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.9,2.34
603,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.2,2.34
604,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.23,2.34
605,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.25,2.34
606,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.52,2.34
607,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.69,2.34
608,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.85,2.34
609,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.9,2.34
610,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.2,2.34
611,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.35,2.34
612,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.39,2.34
613,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.6,2.34
614,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.65,2.34
615,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.73,2.34
616,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.8,2.34
617,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,7.0,2.34
618,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,7.08,2.34
619,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,7.1,2.34
620,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,7.12,2.34
621,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,7.19,2.34
622,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,7.2,2.34
623,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,8.0,2.34
624,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,8.42,2.34
625,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,0.1,1.01
626,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,0.9,1.01
627,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,1.3,1.01
628,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,1.5,1.01
629,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,2.2,1.01
630,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,2.6,1.01
631,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,3.26,1.01
632,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,3.8,1.01
633,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,3.89,1.01
634,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,3.96,1.01
635,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,4.33,1.01
636,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,4.5,1.01
637,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,4.73,1.01
638,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,5.0,1.01
639,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,5.43,1.01
640,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,5.64,1.01
641,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,5.85,1.01
642,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,5.87,1.01
643,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.17,1.01
644,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.18,1.01
645,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.19,1.01
646,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.42,1.01
647,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.44,1.01
648,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.5,1.01
649,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.64,1.01
650,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.65,1.01
651,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.71,1.01
652,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,6.75,1.01
653,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,7.0,1.01
654,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,7.2,1.01
655,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,7.25,1.01
656,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,7.3,1.01
657,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,7.45,1.01
658,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,2.12,2.09
659,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,2.71,2.09
660,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,3.18,2.09
661,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,3.25,2.09
662,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,3.93,2.09
663,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,4.4,2.09
664,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,4.52,2.09
665,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,4.68,2.09
666,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,4.81,2.09
667,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,5.01,2.09
668,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,5.09,2.09
669,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,5.45,2.09
670,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,5.75,2.09
671,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,6.08,2.09
672,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,6.25,2.09
673,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,6.31,2.09
674,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,6.52,2.09
675,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,6.74,2.09
676,CCCCNC(=O)NS(=O)(=O)c1ccc(OC)cc1,6.93,2.09
677,CCCCNC(=O)NS(=O)(=O)c1ccccc1,3.12,1.96
678,CCCCNC(=O)NS(=O)(=O)c1ccccc1,3.91,1.96
679,CCCCNC(=O)NS(=O)(=O)c1ccccc1,4.31,1.96
680,CCCCNC(=O)NS(=O)(=O)c1ccccc1,5.09,1.96
681,CCCCNC(=O)NS(=O)(=O)c1ccccc1,5.67,1.96
682,CCCCNC(=O)NS(=O)(=O)c1ccccc1,5.76,1.96
683,CCCCNC(=O)NS(=O)(=O)c1ccccc1,6.02,1.96
684,CCCCNC(=O)NS(=O)(=O)c1ccccc1,6.36,1.96
685,CCCCNC(=O)NS(=O)(=O)c1ccccc1,6.4,1.96
686,CCCCNC(=O)NS(=O)(=O)c1ccccc1,6.49,1.96
687,CCCCNC(=O)NS(=O)(=O)c1ccccc1,6.63,1.96
688,CCCCNC(=O)Oc1cc(C=C(C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,5.0,1.98
689,CCCCNC(=O)Oc1cc(C=C(C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,7.4,0.96
690,CCCCNC(=O)n1c(=NC(=O)OC)[nH]c2ccccc21,7.0,2.12
691,CCCCNC(=S)N(C)/N=C/c1ccc(OCc2ccc(Cl)cc2)c(OC)c1,6.5,6.8
692,CCCCNc1ccccc1C(=O)OCC(=O)N[C@@H]1CCS(=O)(=O)C1,8.0,4.09
693,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,6.5,4.5
694,CCCCOC(=O)C(N)Cc1ccc(O)c(O)c1,7.4,0.86
695,CCCCOC(=O)C1=C(C)N=C2CCCC(=O)C2[C@H]1c1ccccc1OC,7.3,4.21
696,CCCCOC(=O)CC(CN)c1ccc(Cl)cc1,7.3,1.42
697,CCCCOC(=O)c1ccc(N)cc1,7.4,2.87
698,CCCCOC(=O)n1cc(F)c(=O)[nH]c1=O,4.0,0.89
699,CCCCOc1ccc(/C=C/C(=O)NC(C)C)cc1,5.0,4.45
700,CCCCOc1ccc(C(=O)N(CCN2C(=O)c3ccccc3C2=O)c2cccc(OC)c2)cc1,5.0,5.35
701,CCCCOc1ccc(C(=O)Oc2ccc3c(c2)OCO3)cc1OC,5.0,4.77
702,CCCC[C@@]1(c2ccccc2)NC(=S)N(c2ccc(C)cc2)N1,10.0,5.1
703,CCCC[C@H](CC)Cn1c(SCC(=O)Nc2ccc(OC)cc2)nc2c1c(=O)n(C)c(=O)n2C,5.0,5.51
704,CCCCc1c(C)[nH]c(=NCC)[nH]c1=O,7.84,2.3
705,CCCCc1c(C)[nH]c(N(C)C)nc1=O,7.58,1.9
706,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,1.2,2.72
707,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,2.0,2.72
708,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,3.0,2.72
709,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,4.0,2.72
710,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,5.0,2.72
711,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,6.0,2.72
712,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,7.0,2.72
713,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,7.5,2.72
714,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.0,3.16
715,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,4.0,3.16
716,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,5.0,3.16
717,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,6.0,3.16
718,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,7.0,3.16
719,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,7.5,3.16
720,CCCCc1ccc(C(=O)O)cc1,3.0,3.97
721,CCCCc1cccc(C2(C(Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,7.4,2.3
722,CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,4.94,0.6
723,CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,6.22,0.6
724,CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,6.96,0.6
725,CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,7.75,0.6
726,CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,9.36,0.6
727,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N2CC[C@@H]3c4ccccc4C(=O)N3C2)cc1,5.0,4.55
728,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)OCCn2c(O)c3c(c2O)C2c4ccccc4C3c3ccccc32)cc1,5.0,4.17
729,CCCN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2[nH]c(=O)sc12,7.4,2.74
730,CCCNC(=O)N1CCN(C(=O)NCCC)CC1,10.5,1.04
731,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.65,2.27
732,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,3.13,2.27
733,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,3.28,2.27
734,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.03,2.27
735,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.41,2.27
736,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.92,2.27
737,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,5.42,2.27
738,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,5.48,2.27
739,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,5.66,2.27
740,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,5.8,2.27
741,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,5.94,2.27
742,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.01,2.27
743,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.23,2.27
744,CCCOC(=O)CC(CN)c1ccc(Cl)cc1,7.3,1.31
745,CCCOC(=O)c1c(NC(=O)C2CCN(S(C)(=O)=O)CC2)sc(C(N)=O)c1C,6.5,3.9
746,CCCOC(=O)c1ccc(O)cc1,5.46,3.04
747,CCCOC(=O)n1c(-c2cscn2)nc2ccccc21,6.0,2.98
748,CCCOc1ccc(-n2c(O)cc(N3CCNC3=S)c2O)cc1,6.5,2.68
749,CCCOc1ccc(NC(=O)Cc2c(O)n(-c3ccc(Cl)cc3)c(=S)n2C2CC2)cc1,5.0,5.41
750,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c3ccccc3ccn2c1C(=O)c1ccccc1,5.0,4.48
751,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2cnccn2c1C(=O)c1ccc(C)cc1,5.0,3.93
752,CCCSc1nc2c(c(=O)n1-c1ccc(Br)cc1)SCC2,10.0,4.61
753,CCC[C@@H](C)NC(=O)COc1ncnc2sc3c(c12)CC[C@@H](C)C3,10.0,4.55
754,CCCc1[nH]nc2c1[C@@]1(C(=O)N(CC(N)=O)c3ccccc31)C(C(=O)OC)C(=N)O2,8.0,4.48
755,CCCc1[nH]nc2c1[C@H](c1ccsc1C)C(C#N)C(=N)O2,10.5,3.83
756,CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,2.99,4.4
757,CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,4.17,4.4
758,CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,4.95,4.4
759,CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,5.0,4.4
760,CCCc1ccc(OCc2ccc(C(=O)Nc3ccccc3C(=O)OC)o2)c(OC)c1,5.0,5.89
761,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,3.44,0.54
762,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,4.09,0.54
763,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,4.63,0.54
764,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,4.72,0.54
765,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.34,0.54
766,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.39,0.54
767,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.57,0.54
768,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,5.89,0.54
769,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.14,0.54
770,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.31,0.54
771,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.55,0.54
772,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,6.58,0.54
773,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,3.45,1.8
774,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,6.47,1.8
775,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,7.52,1.8
776,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,7.96,1.8
777,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,8.85,1.8
778,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,9.62,1.8
779,CCCn1c(=O)c(Br)cn(-c2ccccc2C)c1=O,5.0,2.82
780,CCCn1c(SCc2cc(=O)n3cc(Br)ccc3n2)nnc1-c1cccc(C)c1,6.5,4.43
781,CCCn1c2ccccc2c2nnc(SCC(=O)N[C@H](C)c3ccccc3)nc21,7.3,4.36
782,CCN(C(=O)C(=O)c1cn(CC(=O)N2CCOCC2)c2ccccc12)c1ccccc1,2.0,2.05
783,CCN(C(=O)C(C)OC(=O)c1cc(OC)c(OC)c(OC)c1)c1ccccc1,10.5,3.4
784,CCN(C(=O)COC(=O)/C(=C/c1ccc(Cl)cc1)c1ccc(F)cc1)[C@@H]1CCS(=O)(=O)C1,5.0,4.95
785,CCN(C(=O)Cn1c(O)c2c(c1O)CCCC2)c1nnc(-c2ccc(Cl)cc2)s1,6.5,4.91
786,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,1.2,2.25
787,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,5.0,2.25
788,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,7.4,2.25
789,CCN(CC)C(=O)C(C#N)=Cc1cc(OC(=O)NC(C)(C)C)c(O)c([N+](=O)[O-])c1,5.0,1.8
790,CCN(CC)C(=O)C(C#N)=Cc1cc(OC(=O)NC(C)(C)C)c(O)c([N+](=O)[O-])c1,7.4,0.74
791,CCN(CC)C(=O)COC(=O)C(C)c1ccc2cc(OC)ccc2c1,7.4,3.32
792,CCN(CC)C(=O)COC(=O)c1ccccc1O,7.4,1.99
793,CCN(CC)C(=O)[C@@]12CC[C@@](C)(C(=O)O1)C2(C)C,5.0,2.66
794,CCN(CC)C(=O)c1sc(NC(=O)c2cc(OC)cc(OC)c2)c(C(=O)OC)c1C,6.5,5.47
795,CCN(CC)CC(=O)OCn1ncc2c(=O)[nH]cnc21,8.0,0.2
796,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,9.35,4.63
797,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,9.42,4.63
798,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,9.76,4.63
799,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,9.8,4.63
800,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,10.5,4.63
801,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,10.57,4.63
802,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,10.95,4.63
803,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,11.78,4.63
804,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,12.46,4.63
805,CCN(CC)CCNC(=O)c1ccc(N)cc1,7.4,0.88
806,CCN(CC)CCNC(=O)c1ccc(N)cc1,13.0,0.88
807,CCN(CC)CCOC(=O)c1ccc(N)cc1,7.4,1.92
808,CCN(CC)CCOC(=O)c1ccc(N)cc1,7.8,1.92
809,CCN(CC)CCOC(=O)c1ccc(N)cc1,7.9,1.92
810,CCN(CC)CCOC(=O)c1ccc(N)cc1,8.02,1.92
811,CCN(CC)CCOC(=O)c1ccc(N)cc1,8.19,1.92
812,CCN(CC)CCOC(=O)c1ccc(N)cc1,8.33,1.92
813,CCN(CC)CCOC(=O)c1ccc(N)cc1,9.1,1.92
814,CCN(CC)CCOC(=O)c1ccc(N)cc1,9.33,1.92
815,CCN(CC)CCOC(=O)c1ccc(N)cc1,10.3,1.92
816,CCN(CC)Cc1cc(N=c2cc[nH]c3cc(Cl)ccc23)ccc1O,7.4,3.01
817,CCN(CC)S(=O)(=O)N1CCCC(C(=O)NC2CCCCC2)C1,5.0,3.58
818,CCN(CC)S(=O)(=O)c1ccc(/C=C/C(=O)NC2CCCCC2)cc1,5.0,4.34
819,CCN(CC)S(=O)(=O)c1ccc(C(=O)N2CCNC(=O)C2CC(=O)OC)cc1,2.0,1.14
820,CCN(CC)S(=O)(=O)c1ccc2nnn(OCC(=O)NC(c3ccccc3)c3ccccc3)c2c1,5.0,4.49
821,CCN(CC)c1ccc(C=C2C(=O)c3ccccc3C2=O)c(OC)c1,10.5,5.05
822,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,5.2,4.2
